,Token,Counts,Type
0,action,763849,Tag
1,indie,730458,Tag
2,adventure,563927,Tag
3,multiplayer,415341,Tag
4,singleplayer,403390,Tag
5,casual,327532,Tag
6,rpg,318176,Tag
7,strategy,312526,Tag
8,open_world,312337,Tag
9,simulation,282366,Tag
10,free_to_play,279564,Tag
11,survival,217127,Tag
12,first_person,210418,Tag
13,fps,209224,Tag
14,co_op,205249,Tag
15,shooter,200226,Tag
16,atmospheric,199678,Tag
17,great_soundtrack,182345,Tag
18,sandbox,161617,Tag
19,story_rich,156399,Tag
20,early_access,135436,Tag
21,horror,121378,Tag
22,sci_fi,111666,Tag
23,funny,109080,Tag
24,third_person,108115,Tag
25,2d,105843,Tag
26,difficult,97071,Tag
27,zombies,96190,Tag
28,online_co_op,95105,Tag
29,puzzle,93305,Tag
30,anime,92289,Tag
31,massively_multiplayer,91249,Tag
32,crafting,90080,Tag
33,fantasy,88356,Tag
34,exploration,85895,Tag
35,comedy,83358,Tag
36,building,81560,Tag
37,gore,80230,Tag
38,pixel_graphics,75703,Tag
39,platformer,73966,Tag
40,female_protagonist,72363,Tag
41,tactical,70456,Tag
42,nudity,67644,Tag
43,racing,64555,Tag
44,violent,62449,Tag
45,stealth,61645,Tag
46,space,58970,Tag
47,pvp,57351,Tag
48,moddable,56034,Tag
49,team_based,55645,Tag
50,third_person_shooter,55267,Tag
51,post_apocalyptic,55079,Tag
52,classic,53073,Tag
53,survival_horror,50189,Tag
54,sexual_content,49784,Tag
55,visual_novel,48121,Tag
56,sports,47113,Tag
57,mature,45059,Tag
58,war,44115,Tag
59,realistic,43790,Tag
60,turn_based,43718,Tag
61,cute,42483,Tag
62,competitive,41200,Tag
63,action_rpg,41097,Tag
64,psychological_horror,40179,Tag
65,vr,40059,Tag
66,point_&_click,40034,Tag
67,retro,38120,Tag
68,replay_value,38099,Tag
69,dark,36859,Tag
70,physics,36700,Tag
71,choices_matter,35658,Tag
72,arcade,34844,Tag
73,family_friendly,33708,Tag
74,historical,33670,Tag
75,military,33177,Tag
76,rts,32865,Tag
77,rogue_like,32430,Tag
78,hack_and_slash,31998,Tag
79,turn_based_strategy,29868,Tag
80,local_co_op,29400,Tag
81,medieval,29398,Tag
82,crime,28917,Tag
83,fast_paced,28247,Tag
84,character_customization,28237,Tag
85,management,27867,Tag
86,base_building,27845,Tag
87,fighting,26779,Tag
88,memes,26681,Tag
89,dark_fantasy,26220,Tag
90,parkour,24451,Tag
91,walking_simulator,24436,Tag
92,mystery,24132,Tag
93,local_multiplayer,22876,Tag
94,mmorpg,22675,Tag
95,world_war_ii,22106,Tag
96,driving,22026,Tag
97,robots,21987,Tag
98,relaxing,21951,Tag
99,multiple_endings,21699,Tag
100,jrpg,21395,Tag
101,colorful,20727,Tag
102,city_builder,20002,Tag
103,tower_defense,19627,Tag
104,short,19544,Tag
105,controller,19133,Tag
106,bullet_hell,18291,Tag
107,side_scroller,18290,Tag
108,dating_sim,18276,Tag
109,moba,17114,Tag
110,magic,16788,Tag
111,dungeon_crawler,16724,Tag
112,e_sports,16671,Tag
113,cyberpunk,16481,Tag
114,shoot_em_up,16407,Tag
115,futuristic,16399,Tag
116,masterpiece,16326,Tag
117,aliens,15902,Tag
118,rpgmaker,14507,Tag
119,top_down,14079,Tag
120,destruction,13904,Tag
121,grand_strategy,13756,Tag
122,rogue_lite,13552,Tag
123,economy,13472,Tag
124,resource_management,13397,Tag
125,metroidvania,13388,Tag
126,isometric,13233,Tag
127,procedural_generation,12965,Tag
128,romance,12888,Tag
129,music,12759,Tag
130,dinosaurs,12530,Tag
131,card_game,12491,Tag
132,dragons,12479,Tag
133,education,12047,Tag
134,utilities,11847,Tag
135,assassin,11833,Tag
136,puzzle_platformer,11636,Tag
137,steampunk,11589,Tag
138,beat_em_up,11582,Tag
139,animation_&_modeling,11181,Tag
140,trading,10552,Tag
141,turn_based_combat,10403,Tag
142,hidden_object,10384,Tag
143,perma_death,10352,Tag
144,dark_humor,10307,Tag
145,4_player_local,10301,Tag
146,episodic,10240,Tag
147,cartoony,10149,Tag
148,loot,9924,Tag
149,battle_royale,9561,Tag
150,detective,9535,Tag
151,action_adventure,9301,Tag
152,mod,9222,Tag
153,real_time_with_pause,9154,Tag
154,surreal,9108,Tag
155,flight,9023,Tag
156,class_based,8982,Tag
157,lore_rich,8856,Tag
158,4x,8799,Tag
159,ninja,8755,Tag
160,turn_based_tactics,8641,Tag
161,dystopian_,8570,Tag
162,remake,8521,Tag
163,top_down_shooter,8422,Tag
164,minimalist,8205,Tag
165,illuminati,7956,Tag
166,choose_your_own_adventure,7828,Tag
167,hacking,7774,Tag
168,addictive,7709,Tag
169,space_sim,7666,Tag
170,design_&_illustration,7663,Tag
171,pve,7621,Tag
172,tanks,7420,Tag
173,stylized,7336,Tag
174,board_game,7316,Tag
175,heist,7302,Tag
176,hand_drawn,7200,Tag
177,2d_fighter,7199,Tag
178,superhero,7187,Tag
179,underwater,7071,Tag
180,rhythm,7051,Tag
181,hunting,7003,Tag
182,cult_classic,6910,Tag
183,level_editor,6813,Tag
184,3d_platformer,6778,Tag
185,cartoon,6690,Tag
186,pirates,6594,Tag
187,blood,6514,Tag
188,science,6436,Tag
189,twin_stick_shooter,6366,Tag
190,clicker,6225,Tag
191,dog,6144,Tag
192,narration,6005,Tag
193,gun_customization,5843,Tag
194,time_travel,5812,Tag
195,cinematic,5784,Tag
196,beautiful,5737,Tag
197,kickstarter,5716,Tag
198,lovecraftian,5437,Tag
199,psychological,5396,Tag
200,1980s,5335,Tag
201,batman,5316,Tag
202,real_time,5306,Tag
203,arena_shooter,5303,Tag
204,quick_time_events,5186,Tag
205,lego,5094,Tag
206,america,5043,Tag
207,demons,4998,Tag
208,agriculture,4970,Tag
209,old_school,4968,Tag
210,alternate_history,4913,Tag
211,mechs,4861,Tag
212,1990s,4847,Tag
213,star_wars,4750,Tag
214,video_production,4700,Tag
215,match_3,4668,Tag
216,swordplay,4629,Tag
217,voxel,4622,Tag
218,western,4607,Tag
219,party_based_rpg,4588,Tag
220,noir,4504,Tag
221,epic,4503,Tag
222,drama,4471,Tag
223,naval,4464,Tag
224,interactive_fiction,4456,Tag
225,linear,4300,Tag
226,comic_book,4218,Tag
227,political,4188,Tag
228,abstract,4152,Tag
229,hex_grid,4150,Tag
230,split_screen,4128,Tag
231,spectacle_fighter,4115,Tag
232,experimental,4042,Tag
